LWK 80-150/K25
  0.1467826 -0.05838871
  0.1536033 -0.05936411
  0.1605007 -0.0603067
  0.167468 -0.0612173
  0.1744963 -0.06209674
  0.1815761 -0.06294492
  0.1886993 -0.06376131
  0.1958607 -0.06454579
  0.2030574 -0.06529872
  0.2102878 -0.06602079
  0.2175496 -0.06671279
  0.2248402 -0.06737545
  0.232156 -0.06800934
  0.2394939 -0.0686147
  0.2468504 -0.06919183
  0.2542227 -0.06974108
  0.2616082 -0.07026259
  0.2690051 -0.07075631
  0.2764129 -0.07122229
  0.2838323 -0.07166069
  0.2912643 -0.07207199
  0.298709 -0.0724568
  0.3061653 -0.07281571
  0.3136309 -0.07314921
  0.321103 -0.07345737
  0.32858 -0.07374008
  0.3360618 -0.07399728
  0.3435495 -0.07422896
  0.3510453 -0.07443552
  0.3585499 -0.07461762
  0.3660621 -0.0747759
  0.3735788 -0.07491094
  0.3810958 -0.07502286
  0.3886093 -0.0751111
  0.3961175 -0.07517514
  0.40362 -0.07521449
  0.4111181 -0.07522881
  0.4186129 -0.07521807
  0.4261047 -0.07518229
  0.4335925 -0.07512152
  0.4410745 -0.07503575
  0.4485483 -0.07492463
  0.456012 -0.0747877
  0.4634642 -0.07462451
  0.470904 -0.0744346
  0.4783308 -0.07421749
  0.4857441 -0.07397262
  0.4931433 -0.07369943
  0.500528 -0.07339742
  0.5078973 -0.07306604
  0.5152508 -0.0727047
  0.5225881 -0.07231284
  0.5299087 -0.07188987
  0.5372124 -0.0714352
  0.5444991 -0.07094823
  0.5517685 -0.07042831
  0.5590201 -0.06987481
  0.5662534 -0.06928716
  0.5734676 -0.06866472
  0.5806628 -0.06800671
  0.58784 -0.06731221
  0.5950015 -0.06658014
  0.6021505 -0.06580936
  0.6092909 -0.06499919
  0.6164262 -0.0641494
  0.6235589 -0.06325976
  0.6306907 -0.0623301
  0.6378228 -0.06136039
  0.644957 -0.06035064
  0.6520961 -0.05930066
  0.6592445 -0.05820999
  0.6664079 -0.05707803
  0.6735925 -0.0559051
  0.6808026 -0.05469228
  0.6880406 -0.053441
  0.6953065 -0.0521531
  0.7025987 -0.0508303
  0.7099162 -0.04947387
  0.7172591 -0.04808489
  0.7246292 -0.04666417
  0.7320295 -0.0452128
  0.7394627 -0.0437324
  0.746931 -0.0422248
  0.7544357 -0.04069206
  0.7619764 -0.03913688
  0.7695484 -0.03756312
  0.7771417 -0.03597585
  0.7847411 -0.03438159
  0.7923304 -0.03278849
  0.7998971 -0.0312044
  0.8074325 -0.02963616
  0.8149311 -0.02808904
  0.822389 -0.02656696
  0.8298027 -0.02507346
  0.8371696 -0.02361186
  0.8444892 -0.02218531
  0.8517638 -0.02079628
  0.8589986 -0.01944648
  0.8661986 -0.01813604
  0.873365 -0.01686499
  0.8804953 -0.01563404
  0.887584 -0.01444453
  0.8946244 -0.01329803
  0.901609 -0.01219604
  0.908528 -0.01114019
  0.9153658 -0.01013265
  0.9221022 -0.009176129
  0.9287166 -0.008274265
  0.9351916 -0.007429923
  0.9415097 -0.006643327
  0.947642 -0.005912803
  0.9535511 -0.005237752
  0.9592051 -0.00461915
  0.9645861 -0.004056498
  0.9696788 -0.003543845
  0.9744589 -0.003073209
  0.9789143 -0.002654548
  0.9830678 -0.002322434
  0.9869445 -0.002068577
  0.9905611 -0.00178374
  0.9940243 -0.001472926
  0.9974943 -0.001395634
  1.0 0.0
