S9032 (9%)
  0.1241012 0.04030101
  0.1180885 0.03974041
  0.1120913 0.03913556
  0.1061155 0.03848624
  0.1001691 0.03779199
  0.09426125 0.03705212
  0.08840376 0.03626394
  0.08261196 0.03542506
  0.07690176 0.03453089
  0.0712819 0.03357394
  0.06575417 0.03254801
  0.06032681 0.03145255
  0.05502111 0.03029108
  0.04987001 0.02907067
  0.04491406 0.02780216
  0.04020381 0.02649715
  0.03579575 0.02517206
  0.03173035 0.02383382
  0.02801332 0.02248285
  0.02463258 0.02113126
  0.02158221 0.01980351
  0.01885356 0.01851866
  0.01642855 0.0172845
  0.01427836 0.01610409
  0.01237172 0.01497665
  0.01067922 0.01390018
  0.009173776 0.01287175
  0.007837919 0.01188198
  0.006658206 0.01092073
  0.005619901 0.009981529
  0.004707483 0.009062462
  0.003904257 0.008165381
  0.003194927 0.007289742
  0.002566694 0.00643346
  0.002010806 0.00559325
  0.001523921 0.004768139
  0.001104396 0.003961537
  0.0007498356 0.003178732
  0.0004594833 0.002425534
  0.0002381235 0.00170449
  8.767908e-05 0.001010533
  1.00661e-05 0.0003346505
  1.00661e-05 -0.0003346505
  8.767908e-05 -0.001010533
  0.0002381235 -0.00170449
  0.0004594833 -0.002425534
  0.0007498356 -0.003178732
  0.001104396 -0.003961537
  0.001523921 -0.004768139
  0.002010806 -0.00559325
  0.002566694 -0.00643346
  0.003194927 -0.007289742
  0.003904257 -0.008165381
  0.004707483 -0.009062462
  0.005619901 -0.009981529
  0.006658206 -0.01092073
  0.007837919 -0.01188198
  0.009173776 -0.01287175
  0.01067922 -0.01390018
  0.01237172 -0.01497665
  0.01427836 -0.01610409
  0.01642855 -0.0172845
  0.01885356 -0.01851866
  0.02158221 -0.01980351
  0.02463258 -0.02113126
  0.02801332 -0.02248285
  0.03173035 -0.02383382
  0.03579575 -0.02517206
  0.04020381 -0.02649715
  0.04491406 -0.02780216
  0.04987001 -0.02907067
  0.05502111 -0.03029108
  0.06032681 -0.03145255
  0.06575417 -0.03254801
  0.0712819 -0.03357394
  0.07690176 -0.03453089
  0.08261196 -0.03542506
  0.08840376 -0.03626394
  0.09426125 -0.03705212
  0.1001691 -0.03779199
  0.1061155 -0.03848624
  0.1120913 -0.03913556
  0.1180885 -0.03974041
  0.1241012 -0.04030101
  0.130129 -0.04081737
  0.136178 -0.04129025
  0.1422568 -0.04172334
  0.1483679 -0.04212169
  0.1545061 -0.04248958
  0.1606625 -0.04282867
  0.1668312 -0.04313984
  0.1730105 -0.04342422
  0.1792001 -0.04368285
  0.1853987 -0.04391664
  0.1916029 -0.04412638
  0.1978091 -0.04431208
  0.2040168 -0.04447337
  0.2102292 -0.04461004
  0.2164515 -0.04472297
  0.2226872 -0.04481431
  0.2289357 -0.04488617
  0.2351934 -0.04494025
  0.241456 -0.04497705
  0.2477219 -0.04499687
  0.2539918 -0.04500006
  0.2602677 -0.04498731
  0.2665501 -0.04495957
  0.2728373 -0.0449178
  0.2791253 -0.0448627
  0.2854107 -0.04479381
  0.2916929 -0.04471045
  0.2979741 -0.04461188
  0.3042585 -0.04449812
  0.3105498 -0.04437027
  0.316849 -0.04422958
  0.323155 -0.04407727
  0.3294653 -0.04391412
  0.3357779 -0.04374046
  0.342092 -0.04355659
  0.3484083 -0.04336281
  0.3547275 -0.04315947
  0.3610497 -0.04294701
  0.3673739 -0.04272593
  0.3736978 -0.04249666
  0.3800193 -0.04225901
  0.3863377 -0.04201253
  0.3926541 -0.04175667
  0.3989712 -0.04149097
  0.4052922 -0.04121587
  0.4116185 -0.04093219
  0.4179498 -0.04064085
  0.424284 -0.04034275
  0.4306182 -0.04003814
  0.4369513 -0.03972688
  0.4432833 -0.03940877
  0.4496163 -0.0390836
  0.4559526 -0.03875163
  0.462293 -0.0384135
  0.4686364 -0.03806992
  0.4749799 -0.03772165
  0.4813199 -0.0373686
  0.4876544 -0.03700998
  0.4939837 -0.03664487
  0.5003105 -0.03627228
  0.5066388 -0.03589204
  0.5129718 -0.03550489
  0.5193109 -0.03511171
  0.5256558 -0.03471348
  0.5320047 -0.03431095
  0.5383555 -0.03390442
  0.5447067 -0.03349416
  0.551057 -0.03308039
  0.5574056 -0.03266319
  0.5637521 -0.03224229
  0.5700968 -0.03181738
  0.5764407 -0.03138809
  0.5827854 -0.03095419
  0.5891319 -0.03051594
  0.5954809 -0.03007374
  0.6018318 -0.02962805
  0.6081835 -0.02917925
  0.6145348 -0.02872739
  0.6208854 -0.02827234
  0.6272355 -0.02781395
  0.6335864 -0.02735209
  0.6399395 -0.02688706
  0.6462956 -0.02641929
  0.6526549 -0.02594926
  0.6590172 -0.02547746
  0.6653818 -0.02500423
  0.671748 -0.02452987
  0.6781149 -0.0240547
  0.6844818 -0.02357895
  0.690848 -0.02310255
  0.6972133 -0.02262537
  0.7035777 -0.02214723
  0.7099415 -0.02166813
  0.716305 -0.02118861
  0.7226685 -0.02070929
  0.7290316 -0.02023082
  0.7353941 -0.01975329
  0.7417558 -0.01927598
  0.748117 -0.01879806
  0.7544785 -0.01831876
  0.7608412 -0.01783806
  0.7672057 -0.01735656
  0.7735717 -0.01687492
  0.7799381 -0.01639375
  0.7863042 -0.01591334
  0.7926696 -0.01543386
  0.7990351 -0.01495539
  0.8054015 -0.01447769
  0.8117692 -0.01400034
  0.8181375 -0.01352298
  0.824505 -0.01304558
  0.8308709 -0.01256871
  0.8372353 -0.01209288
  0.8435999 -0.0116184
  0.8499659 -0.0111449
  0.8563338 -0.01067199
  0.862703 -0.01019932
  0.8690724 -0.009726693
  0.8754411 -0.009253928
  0.8818082 -0.008781003
  0.8881734 -0.008308474
  0.8945374 -0.007836967
  0.9009009 -0.00736669
  0.9072641 -0.006897315
  0.9136251 -0.006428542
  0.9199808 -0.005959893
  0.926326 -0.005490851
  0.9326542 -0.005019974
  0.93896 -0.004544481
  0.9452397 -0.00406149
  0.9514923 -0.003568117
  0.9577173 -0.003064076
  0.9639 -0.002555477
  0.9699981 -0.002049913
  0.9759287 -0.001558452
  0.9816098 -0.001104483
  0.9869808 -0.0007027052
  0.9919384 -0.0003662935
  0.9964578 -0.0001195812
  1.0 0.0
