NACA-M1 AIRFOIL
  0.2599793 -0.03031231
  0.2661588 -0.03041319
  0.2723401 -0.0305045
  0.2785232 -0.0305864
  0.2847082 -0.03065906
  0.2908949 -0.03072263
  0.2970832 -0.03077729
  0.3032731 -0.03082319
  0.3094642 -0.03086047
  0.3156565 -0.03088925
  0.3218497 -0.03090966
  0.3280438 -0.03092182
  0.3342385 -0.03092585
  0.3404339 -0.03092187
  0.3466297 -0.03091001
  0.352826 -0.03089039
  0.3590226 -0.03086314
  0.3652196 -0.03082839
  0.3714169 -0.03078625
  0.3776145 -0.03073686
  0.3838125 -0.03068034
  0.3900108 -0.0306168
  0.3962096 -0.03054639
  0.402409 -0.03046922
  0.4086089 -0.03038543
  0.4148096 -0.03029521
  0.421011 -0.03019872
  0.4272133 -0.03009614
  0.4334165 -0.02998766
  0.4396207 -0.02987344
  0.4458257 -0.02975366
  0.4520318 -0.02962851
  0.4582387 -0.02949815
  0.4644466 -0.02936278
  0.4706553 -0.02922256
  0.4768648 -0.02907767
  0.483075 -0.02892831
  0.4892858 -0.02877464
  0.4954971 -0.02861685
  0.5017088 -0.02845513
  0.5079207 -0.02828955
  0.5141327 -0.02812001
  0.5203446 -0.02794638
  0.5265563 -0.02776853
  0.5327676 -0.02758634
  0.5389785 -0.02739968
  0.5451887 -0.02720842
  0.5513982 -0.02701245
  0.5576069 -0.02681164
  0.5638145 -0.02660585
  0.5700211 -0.02639497
  0.5762265 -0.02617888
  0.5824306 -0.02595744
  0.5886333 -0.02573054
  0.5948345 -0.02549806
  0.6010342 -0.02525986
  0.6072322 -0.02501592
  0.6134286 -0.02476639
  0.6196233 -0.02451149
  0.6258166 -0.02425141
  0.6320085 -0.02398634
  0.6381994 -0.02371648
  0.6443895 -0.02344199
  0.6505792 -0.02316308
  0.6567691 -0.0228799
  0.6629595 -0.02259264
  0.6691511 -0.02230147
  0.6753446 -0.02200654
  0.6815406 -0.02170802
  0.6877399 -0.02140606
  0.6939435 -0.0211008
  0.7001522 -0.02079241
  0.706367 -0.02048096
  0.7125885 -0.02016638
  0.7188076 -0.01984903
  0.7250187 -0.01952912
  0.731222 -0.01920656
  0.7374182 -0.01888123
  0.7436082 -0.01855302
  0.749793 -0.01822178
  0.7559744 -0.01788735
  0.7621542 -0.01754954
  0.7683345 -0.01720815
  0.7745181 -0.01686294
  0.7807077 -0.01651365
  0.7869066 -0.01616
  0.7931185 -0.01580167
  0.7993321 -0.0154392
  0.8055244 -0.01507391
  0.8116914 -0.01470616
  0.8178309 -0.0143363
  0.8239419 -0.01396458
  0.8300249 -0.01359118
  0.8360816 -0.01321616
  0.8421148 -0.01283956
  0.8481285 -0.0124613
  0.8541276 -0.01208123
  0.860118 -0.01169913
  0.8661068 -0.0113147
  0.8721023 -0.01092755
  0.8781138 -0.0105372
  0.8841523 -0.01014306
  0.8902304 -0.009744418
  0.8963626 -0.009340428
  0.9025561 -0.008930705
  0.908702 -0.008522354
  0.914761 -0.008117634
  0.9207458 -0.007715372
  0.9266803 -0.007313643
  0.9325984 -0.0069098
  0.9385453 -0.006500356
  0.9445811 -0.006080671
  0.9507361 -0.005647988
  0.9566998 -0.005223902
  0.962357 -0.004817145
  0.9676893 -0.004429781
  0.972699 -0.00406233
  0.9774015 -0.003714319
  0.9818182 -0.003384714
  0.9859734 -0.003072217
  0.9898908 -0.002775452
  0.9935931 -0.00249307
  0.9971009 -0.002223803
  1.0 -0.002
