 E168  (12.45%)               
  0.2067598 -0.06112818
  0.2130365 -0.06138535
  0.2193289 -0.06160591
  0.2256361 -0.06179119
  0.2319574 -0.06194247
  0.2382923 -0.06206077
  0.2446401 -0.06214709
  0.251 -0.06220243
  0.2573713 -0.06222786
  0.2637531 -0.06222442
  0.2701445 -0.06219322
  0.2765444 -0.06213514
  0.2829521 -0.06205081
  0.2893669 -0.0619409
  0.2957882 -0.06180605
  0.3022158 -0.06164692
  0.3086493 -0.06146418
  0.3150888 -0.0612585
  0.3215343 -0.06103054
  0.3279859 -0.06078095
  0.3344437 -0.06051039
  0.3409077 -0.06021954
  0.3473778 -0.05990907
  0.3538539 -0.05957965
  0.3603358 -0.05923199
  0.3668232 -0.05886675
  0.3733158 -0.05848454
  0.3798134 -0.0580859
  0.3863159 -0.05767141
  0.392823 -0.05724165
  0.3993346 -0.05679719
  0.4058506 -0.05633861
  0.4123709 -0.05586649
  0.4188955 -0.05538136
  0.4254242 -0.0548837
  0.4319571 -0.05437398
  0.4384939 -0.05385268
  0.4450346 -0.0533203
  0.4515788 -0.05277732
  0.4581264 -0.05222425
  0.4646772 -0.05166159
  0.4712307 -0.05108975
  0.4777868 -0.05050906
  0.4843454 -0.04991985
  0.4909063 -0.04932245
  0.4974695 -0.04871716
  0.504035 -0.0481043
  0.510603 -0.04748418
  0.5171736 -0.0468571
  0.5237471 -0.04622341
  0.5303237 -0.04558345
  0.5369034 -0.0449376
  0.5434864 -0.04428625
  0.5500727 -0.04362978
  0.5566622 -0.04296857
  0.5632548 -0.04230303
  0.5698503 -0.04163356
  0.5764486 -0.04096049
  0.5830495 -0.04028412
  0.5896528 -0.03960472
  0.5962583 -0.0389226
  0.602866 -0.03823803
  0.6094759 -0.03755129
  0.6160878 -0.03686267
  0.6227017 -0.03617243
  0.6293177 -0.03548081
  0.6359356 -0.03478803
  0.6425552 -0.03409431
  0.6491761 -0.03339991
  0.6557979 -0.03270507
  0.6624202 -0.03201005
  0.6690422 -0.03131514
  0.6756633 -0.03062064
  0.6822828 -0.02992688
  0.6889002 -0.02923421
  0.6955152 -0.02854295
  0.7021275 -0.02785341
  0.7087371 -0.02716589
  0.7153442 -0.02648064
  0.7219491 -0.02579792
  0.7285521 -0.0251179
  0.7351536 -0.02444071
  0.7417538 -0.02376644
  0.748353 -0.02309524
  0.7549512 -0.02242724
  0.7615487 -0.02176257
  0.7681452 -0.02110139
  0.7747408 -0.02044386
  0.7813352 -0.01979016
  0.7879286 -0.01914048
  0.7945206 -0.01849501
  0.8011113 -0.01785393
  0.8077005 -0.01721742
  0.8142882 -0.01658566
  0.8208742 -0.01595887
  0.8274586 -0.01533729
  0.8340414 -0.01472115
  0.8406228 -0.01411067
  0.8472029 -0.01350608
  0.8537819 -0.01290758
  0.8603603 -0.01231523
  0.8669385 -0.0117288
  0.8735173 -0.01114796
  0.8800978 -0.01057242
  0.8866813 -0.01000181
  0.8932696 -0.009435768
  0.8998634 -0.008873858
  0.9064608 -0.008315794
  0.9130562 -0.007761576
  0.9196408 -0.00721148
  0.9262023 -0.006665703
  0.9327268 -0.006121411
  0.9392021 -0.005574059
  0.9456181 -0.005019196
  0.9519666 -0.004452654
  0.9582375 -0.003872968
  0.9644074 -0.003282093
  0.970441 -0.002683685
  0.9762936 -0.002086935
  0.9818965 -0.001516648
  0.9871618 -0.0009978519
  0.9920235 -0.0005544299
  0.9964661 -0.0002116233
  1.0 0.0
