  S9027 (8%)
  0.2408037 -0.04001741
  0.2470292 -0.04000481
  0.2532592 -0.03997735
  0.2594982 -0.03993569
  0.2657483 -0.03988145
  0.2720071 -0.03981635
  0.2782684 -0.03974196
  0.2845247 -0.0396579
  0.2907731 -0.03956283
  0.2970159 -0.03945533
  0.3032601 -0.03933447
  0.3095129 -0.03920144
  0.3157771 -0.03905797
  0.3220506 -0.03890591
  0.3283276 -0.03874649
  0.3346027 -0.03857945
  0.3408739 -0.03840423
  0.3471432 -0.0382202
  0.3534153 -0.03802726
  0.3596939 -0.03782634
  0.3659797 -0.03761856
  0.3722702 -0.03740513
  0.3785608 -0.03718662
  0.3848475 -0.03696242
  0.3911287 -0.03673179
  0.3974056 -0.0364939
  0.4036812 -0.0362483
  0.4099585 -0.03599533
  0.4162396 -0.03573543
  0.4225252 -0.03546909
  0.4288152 -0.03519682
  0.4351091 -0.03491917
  0.441406 -0.03463671
  0.4477048 -0.03435002
  0.4540046 -0.03405951
  0.4603041 -0.03376518
  0.4666027 -0.03346689
  0.4728999 -0.03316452
  0.4791955 -0.03285792
  0.4854898 -0.03254698
  0.4917832 -0.03223155
  0.4980764 -0.03191151
  0.5043703 -0.03158673
  0.5106658 -0.03125737
  0.5169636 -0.03092378
  0.5232633 -0.03058632
  0.5295644 -0.03024538
  0.5358659 -0.02990114
  0.5421671 -0.02955359
  0.5484679 -0.02920269
  0.554769 -0.02884838
  0.5610711 -0.02849073
  0.567375 -0.02813002
  0.5736808 -0.02776656
  0.5799884 -0.0274007
  0.586297 -0.02703266
  0.5926057 -0.02666242
  0.5989136 -0.02628995
  0.6052196 -0.0259152
  0.6115227 -0.02553807
  0.6178225 -0.02515822
  0.6241199 -0.02477524
  0.6304166 -0.02438861
  0.6367157 -0.02399808
  0.6430195 -0.02360443
  0.6493284 -0.02320879
  0.6556409 -0.02281241
  0.6619532 -0.02241629
  0.6682618 -0.02201988
  0.6745654 -0.02162211
  0.680865 -0.02122182
  0.6871637 -0.020818
  0.6934649 -0.02041089
  0.6997704 -0.02000106
  0.70608 -0.01958921
  0.7123922 -0.01917596
  0.7187048 -0.01876144
  0.7250167 -0.01834566
  0.7313273 -0.01792858
  0.737637 -0.01751011
  0.743946 -0.01709012
  0.7502545 -0.01666853
  0.7565625 -0.01624527
  0.7628701 -0.01582093
  0.7691774 -0.0153965
  0.7754846 -0.01497299
  0.7817922 -0.01455103
  0.7881005 -0.01412993
  0.7944094 -0.01370868
  0.8007183 -0.01328636
  0.8070267 -0.01286308
  0.8133348 -0.01243984
  0.8196433 -0.01201761
  0.8259538 -0.01159693
  0.8322671 -0.01117735
  0.8385833 -0.01075835
  0.8449009 -0.01033958
  0.8512185 -0.009921158
  0.8575355 -0.009503267
  0.8638518 -0.009085972
  0.870168 -0.008668936
  0.8764841 -0.008251712
  0.8827999 -0.007834038
  0.8891151 -0.007416318
  0.8954294 -0.006999114
  0.9017426 -0.006582792
  0.9080545 -0.006167374
  0.9143642 -0.005752802
  0.9206696 -0.005338538
  0.9269654 -0.004923913
  0.9332437 -0.004507428
  0.9394999 -0.004085961
  0.9457339 -0.00365653
  0.9519441 -0.003217482
  0.9581231 -0.00276833
  0.964257 -0.002310464
  0.9703168 -0.001850535
  0.9762325 -0.001403446
  0.9819058 -0.0009875581
  0.9872408 -0.0006207547
  0.9921471 -0.0003192664
  0.9965689 -9.643455e-05
  1.0 0.0
