 (Dicke 12.28%)               
  0.2548522 -0.05909089
  0.260968 -0.05939147
  0.2670878 -0.05967046
  0.273211 -0.05992826
  0.279337 -0.06016529
  0.2854651 -0.06038185
  0.2915948 -0.06057792
  0.2977255 -0.06075342
  0.3038566 -0.06090829
  0.3099877 -0.06104249
  0.3161184 -0.06115597
  0.3222483 -0.06124869
  0.3283772 -0.06132061
  0.3345048 -0.06137158
  0.340631 -0.06140141
  0.3467556 -0.06140991
  0.3528787 -0.0613969
  0.3590004 -0.06136217
  0.3651209 -0.06130553
  0.3712405 -0.06122678
  0.3773595 -0.06112578
  0.3834784 -0.06100263
  0.3895973 -0.06085749
  0.3957167 -0.0606905
  0.4018366 -0.06050182
  0.4079572 -0.06029157
  0.4140787 -0.06005991
  0.4202009 -0.05980699
  0.4263239 -0.05953297
  0.4324477 -0.05923812
  0.4385722 -0.05892271
  0.4446975 -0.05858702
  0.4508235 -0.0582313
  0.4569503 -0.05785584
  0.4630781 -0.05746091
  0.4692068 -0.05704675
  0.4753365 -0.05661368
  0.4814676 -0.05616215
  0.4876 -0.05569261
  0.4937341 -0.05520553
  0.4998702 -0.05470137
  0.5060084 -0.0541806
  0.5121492 -0.05364365
  0.5182928 -0.05309099
  0.5244396 -0.05252309
  0.5305901 -0.05194061
  0.5367445 -0.05134429
  0.542903 -0.05073488
  0.5490659 -0.05011315
  0.5552332 -0.04947987
  0.5614047 -0.04883584
  0.5675804 -0.04818186
  0.57376 -0.04751874
  0.5799432 -0.04684713
  0.5861297 -0.04616757
  0.5923192 -0.0454806
  0.5985114 -0.04478676
  0.6047062 -0.04408658
  0.6109034 -0.04338061
  0.6171028 -0.04266938
  0.6233042 -0.04195342
  0.6295077 -0.04123316
  0.635713 -0.04050893
  0.6419201 -0.03978106
  0.648129 -0.03904986
  0.6543396 -0.03831566
  0.6605518 -0.03757877
  0.6667656 -0.03683951
  0.672981 -0.03609821
  0.6791979 -0.03535516
  0.6854163 -0.03461067
  0.6916361 -0.03386502
  0.697857 -0.03311853
  0.7040787 -0.03237153
  0.710301 -0.03162432
  0.7165232 -0.03087727
  0.722745 -0.0301307
  0.7289658 -0.02938498
  0.7351852 -0.02864049
  0.7414028 -0.02789759
  0.7476184 -0.02715663
  0.7538319 -0.02641792
  0.7600433 -0.02568179
  0.7662528 -0.02494853
  0.7724605 -0.02421842
  0.7786668 -0.02349164
  0.7848719 -0.02276833
  0.791076 -0.02204867
  0.7972794 -0.02133281
  0.8034823 -0.02062091
  0.8096849 -0.01991315
  0.8158874 -0.01920968
  0.8220899 -0.01851065
  0.8282923 -0.01781621
  0.8344946 -0.0171265
  0.8406965 -0.0164417
  0.8468977 -0.01576199
  0.8530977 -0.01508756
  0.859296 -0.01441861
  0.8654923 -0.01375534
  0.871687 -0.01309787
  0.8778808 -0.01244628
  0.8840752 -0.01180058
  0.8902722 -0.01116075
  0.8964737 -0.01052648
  0.902681 -0.009897131
  0.9088934 -0.009272176
  0.9151084 -0.008651272
  0.9213219 -0.008034246
  0.9275279 -0.007420386
  0.9337202 -0.006806798
  0.9398937 -0.00619008
  0.9460447 -0.005566789
  0.9521704 -0.004933596
  0.9582663 -0.004288992
  0.9643199 -0.00363337
  0.9703109 -0.002968233
  0.9762065 -0.002301162
  0.9819216 -0.001659098
  0.9873165 -0.001073906
  0.9922583 -0.0005806559
  0.9966498 -0.0002145948
  1.0 0.0
