LWK 80-100
  0.001206716 -0.003937579
  0.001715498 -0.004718702
  0.002329128 -0.005513419
  0.003051406 -0.006319516
  0.003882323 -0.007137079
  0.004820081 -0.007971284
  0.0058743 -0.008829702
  0.007067832 -0.009718857
  0.0084296 -0.01064652
  0.009993373 -0.01162119
  0.01179476 -0.01264862
  0.01387107 -0.01372889
  0.01625617 -0.0148596
  0.01898142 -0.01603994
  0.02208678 -0.01726785
  0.02560394 -0.01853482
  0.02953994 -0.01982926
  0.03387584 -0.02113249
  0.03856141 -0.02242309
  0.04353667 -0.0236863
  0.04874781 -0.02490823
  0.05414695 -0.0260812
  0.05970279 -0.02720434
  0.06538901 -0.02827917
  0.07117843 -0.02930919
  0.07704682 -0.03029583
  0.08297522 -0.03124015
  0.08895104 -0.0321448
  0.0949668 -0.03301194
  0.101016 -0.03384332
  0.1070923 -0.0346409
  0.1131903 -0.03540602
  0.1193069 -0.03613975
  0.1254419 -0.03684355
  0.1315972 -0.03751934
  0.1377737 -0.03816942
  0.1439698 -0.03879588
  0.1501808 -0.0394005
  0.1564005 -0.03998373
  0.1626249 -0.04054528
  0.1688525 -0.04108513
  0.1750851 -0.04160361
  0.1813256 -0.04210176
  0.1875759 -0.04258082
  0.1938365 -0.04304192
  0.2001065 -0.04348604
  0.2063837 -0.04391371
  0.2126665 -0.04432527
  0.2189529 -0.04472106
  0.2252416 -0.04510148
  0.2315313 -0.04546666
  0.2378215 -0.04581651
  0.2441125 -0.04615099
  0.2504051 -0.04647007
  0.2567009 -0.0467739
  0.2630015 -0.04706312
  0.2693076 -0.04733842
  0.2756195 -0.04760048
  0.2819364 -0.04784991
  0.2882574 -0.0480871
  0.294581 -0.04831213
  0.3009062 -0.04852514
  0.3072317 -0.04872623
  0.3135565 -0.0489155
  0.3198797 -0.04909283
  0.3262012 -0.04925796
  0.3325213 -0.04941067
  0.3388413 -0.04955075
  0.3451628 -0.04967809
  0.3514875 -0.04979306
  0.3578164 -0.04989617
  0.3641491 -0.04998791
  0.3704848 -0.05006875
  0.3768216 -0.05013903
  0.3831573 -0.05019854
  0.3894908 -0.05024694
  0.3958215 -0.0502839
  0.4021497 -0.0503091
  0.4084765 -0.05032228
  0.414803 -0.05032347
  0.4211302 -0.05031277
  0.4274585 -0.05029029
  0.4337878 -0.05025614
  0.4401176 -0.0502104
  0.4464473 -0.050153
  0.4527763 -0.05008384
  0.459104 -0.05000281
  0.46543 -0.04990981
  0.471754 -0.04980471
  0.4780759 -0.04968729
  0.4843953 -0.04955727
  0.4907122 -0.04941433
  0.4970262 -0.04925821
  0.5033374 -0.0490886
  0.5096456 -0.04890517
  0.5159505 -0.04870753
  0.522252 -0.04849532
  0.5285498 -0.04826815
  0.5348435 -0.04802565
  0.5411328 -0.04776742
  0.5474176 -0.04749299
  0.5536977 -0.04720187
  0.5599732 -0.04689358
  0.5662444 -0.04656763
  0.5725119 -0.04622355
  0.5787758 -0.04586105
  0.5850364 -0.04547982
  0.5912939 -0.04507961
  0.5975479 -0.04466014
  0.6037984 -0.04422117
  0.6100449 -0.04376244
  0.6162877 -0.04328371
  0.6225271 -0.04278469
  0.6287638 -0.04226504
  0.6349989 -0.04172451
  0.6412334 -0.04116327
  0.6474688 -0.04058163
  0.6537059 -0.03997992
  0.6599458 -0.03935844
  0.6661896 -0.03871755
  0.6724379 -0.03805791
  0.678691 -0.03738032
  0.6849489 -0.03668565
  0.6912109 -0.03597481
  0.697476 -0.03524873
  0.703743 -0.03450801
  0.7100117 -0.03375314
  0.7162823 -0.03298448
  0.722556 -0.03220235
  0.7288343 -0.03140717
  0.7351189 -0.03059985
  0.741411 -0.02978141
  0.7477113 -0.02895294
  0.75402 -0.02811559
  0.7603368 -0.02727053
  0.7666609 -0.02641891
  0.7729912 -0.02556195
  0.7793263 -0.02470094
  0.7856643 -0.0238374
  0.7920026 -0.02297321
  0.7983381 -0.02211041
  0.8046669 -0.02125113
  0.8109844 -0.02039767
  0.8172878 -0.01955258
  0.8235767 -0.01871812
  0.8298539 -0.01789609
  0.8361245 -0.01708763
  0.8423934 -0.01629247
  0.8486631 -0.0155104
  0.8549333 -0.01474152
  0.8612017 -0.01398638
  0.8674667 -0.01324576
  0.8737292 -0.01252022
  0.8799922 -0.01180996
  0.8862595 -0.01111444
  0.8925318 -0.01043298
  0.8988054 -0.009765352
  0.905074 -0.009112471
  0.9113342 -0.008476312
  0.9175872 -0.007858403
  0.9238385 -0.007258873
  0.9300928 -0.00667623
  0.9363515 -0.006109099
  0.9426087 -0.005555848
  0.9488414 -0.005015464
  0.9550068 -0.004490632
  0.9610378 -0.003992714
  0.966845 -0.003530288
  0.9723296 -0.003086156
  0.9774086 -0.002649928
  0.9819929 -0.002279156
  0.9859924 -0.002007189
  0.9894406 -0.001717698
  0.9924926 -0.001335802
  0.9953255 -0.001103083
  0.9979449 -0.001063068
  1.0 0.0
